Temps,Mouvement X,Temps,Mouvement Y
0,0.0273627326437198,0,0.110418809106124
0.033333,0.0499465650394208,0.033333,0.226564232855443
0.066666,0.0822091827475652,0.066666,0.320125824209062
0.099999,0.111245538684895,0.099999,0.407234892021052
0.133332,0.13705563285141,0.133332,0.481438912749783
0.166665,0.162865727017926,0.166665,0.552416671707701
0.199998,0.185449559413627,0.199998,0.604036860040732
0.233331,0.208033391809328,0.233331,0.63952573951969
0.266664,0.237069747746658,0.266664,0.665335833686206
0.299997,0.259653580142359,0.299997,0.687919666081907
0.33333,0.285463674308874,0.33333,0.694372189623536
0.366663,0.311273768475389,0.366663,0.687919666081907
0.399996,0.330631339100276,0.399996,0.66856209545702
0.433329,0.356441433266792,0.433329,0.642752001290505
0.466662,0.372572742120864,0.466662,0.604036860040732
0.499995,0.401609098058194,0.499995,0.555642933478515
0.533328,0.424192930453895,0.533328,0.494343959833041
0.566661,0.45000302462041,0.566661,0.416913677333495
0.599994,0.475813118786925,0.599994,0.33303087129232
0.633327,0.498396951182627,0.633327,0.236243018167887
0.66666,0.524207045349142,0.66666,0.123323856189382
0.699993,0.546790877744843,0.699993,0.00395217066924773
0.733326,0.569374710140544,0.733326,-0.134777085475773
0.766659,0.598411066077874,0.766659,-0.283185126933237
0.799992,0.620994898473575,0.799992,-0.444498215473958
